pixel_index channel old_value new_value difference
3457 0 0 92 92
3459 0 0 93 93
3461 0 0 93 93
3463 0 0 84 84
3465 0 0 79 79
3467 0 0 80 80
3469 0 0 74 74
3471 0 0 79 79
3473 0 0 81 81
3475 0 0 86 86
3477 0 0 84 84
3479 0 0 71 71
3481 0 0 62 62
3483 0 0 64 64
3485 0 0 67 67
3487 0 0 66 66
3489 0 0 66 66
3491 0 0 65 65
3493 0 0 56 56
3495 0 0 59 59
3497 0 0 61 61
3499 0 0 51 51
3501 0 0 84 84
3503 0 0 87 87
3505 0 0 80 80
3507 0 0 82 82
3509 0 0 83 83
3511 0 0 80 80
3513 0 0 77 77
3515 0 0 69 69
3517 0 0 64 64
3519 0 0 64 64
3521 0 0 66 66
3523 0 0 69 69
3525 0 0 64 64
3527 0 0 55 55
3529 0 0 53 53
3531 0 0 50 50
3533 0 0 49 49
3535 0 0 55 55
3537 0 0 50 50
3539 0 0 81 81
3541 0 0 91 91
3543 0 0 72 72
3545 0 0 80 80
3547 0 0 62 62
3549 0 0 71 71
3551 0 0 63 63
3553 0 0 85 85
3555 0 0 64 64
3557 0 0 103 103
3559 0 0 104 104
3561 0 0 101 101
3563 0 0 103 103
3565 0 0 102 102
3567 0 0 97 97
3569 0 0 93 93
3571 0 0 92 92
3573 0 0 91 91
3575 0 0 89 89
3577 0 0 81 81
3579 0 0 77 77
3581 0 0 78 78
3583 0 0 77 77
3585 0 0 78 78
3587 0 0 82 82
3589 0 0 80 80
3591 0 0 73 73
3593 0 0 71 71
3595 0 0 74 74
3597 0 0 73 73
3599 0 0 74 74
3601 0 0 74 74
3603 0 0 74 74
3605 0 0 77 77
3607 0 0 76 76
3609 0 0 72 72
3611 0 0 67 67
3613 0 0 65 65
3615 0 0 70 70
3617 0 0 73 73
3619 0 0 64 64
3621 0 0 59 59
3623 0 0 64 64
3625 0 0 67 67
3627 0 0 71 71
3629 0 0 70 70
3631 0 0 67 67
3633 0 0 65 65
3635 0 0 63 63
3637 0 0 63 63
3639 0 0 67 67
3641 0 0 68 68
3643 0 0 66 66
3645 0 0 66 66
3647 0 0 65 65
3649 0 0 65 65
3651 0 0 70 70
3653 0 0 69 69
3655 0 0 68 68
3657 0 0 68 68
3659 0 0 69 69
3661 0 0 69 69
3663 0 0 64 64
3665 0 0 62 62
3667 0 0 67 67
3669 0 0 69 69
3671 0 0 71 71
3673 0 0 70 70
3675 0 0 65 65
3677 0 0 66 66
3679 0 0 66 66
3681 0 0 65 65
3683 0 0 63 63
3685 0 0 64 64
3687 0 0 68 68
3689 0 0 71 71
3691 0 0 70 70
3693 0 0 65 65
3695 0 0 66 66
3697 0 0 71 71
3699 0 0 70 70
3701 0 0 67 67
3703 0 0 70 70
3705 0 0 68 68
3707 0 0 60 60
3709 0 0 61 61
3711 0 0 65 65
3713 0 0 66 66
3715 0 0 67 67
3717 0 0 66 66
3719 0 0 61 61
3721 0 0 59 59
3723 0 0 61 61
3725 0 0 60 60
3727 0 0 63 63
3729 0 0 66 66
3731 0 0 65 65
3733 0 0 63 63
3735 0 0 63 63
3737 0 0 63 63
3739 0 0 65 65
3741 0 0 67 67
3743 0 0 64 64
3745 0 0 60 60
3747 0 0 65 65
3749 0 0 68 68
3751 0 0 66 66
3753 0 0 67 67
3755 0 0 64 64
3757 0 0 63 63
3759 0 0 67 67
3761 0 0 66 66
3763 0 0 64 64
3765 0 0 68 68
3767 0 0 70 70
3769 0 0 70 70
3771 0 0 65 65
3773 0 0 61 61
3775 0 0 62 62
3777 0 0 62 62
3779 0 0 65 65
3781 0 0 65 65
3783 0 0 63 63
3785 0 0 62 62
3787 0 0 62 62
3789 0 0 62 62
3791 0 0 64 64
3793 0 0 66 66
3795 0 0 65 65
3797 0 0 62 62
3799 0 0 60 60
3801 0 0 64 64
3803 0 0 65 65
3805 0 0 63 63
